window_idx,start,end,n_days,spd_strategy,spd_uniform,pct_strategy,pct_uniform
106,2016-04-16 00:00:00+00:00,2017-04-15 00:00:00+00:00,365,143557.0411344344,144180.33754637282,42.482124976616745,42.883325080401704
107,2016-04-17 00:00:00+00:00,2017-04-16 00:00:00+00:00,365,143167.10543469677,143779.8872511968,42.23113324907306,42.625565374252126
108,2016-04-18 00:00:00+00:00,2017-04-17 00:00:00+00:00,365,142770.9636533286,143371.62400878567,42.02262377692351,42.40968171026913
109,2016-04-19 00:00:00+00:00,2017-04-18 00:00:00+00:00,365,142370.6757996167,142961.87537487072,42.92881664783642,43.32039695446064
110,2016-04-20 00:00:00+00:00,2017-04-19 00:00:00+00:00,365,141982.5103035696,142562.2564740866,42.69466847112459,43.07886917654904
111,2016-04-21 00:00:00+00:00,2017-04-20 00:00:00+00:00,365,141587.3032363543,142165.03145586772,42.43276275835817,42.815626157494954
112,2016-04-22 00:00:00+00:00,2017-04-21 00:00:00+00:00,365,141196.40805018367,141778.76434556273,42.17371455086446,42.55964499917337
113,2016-04-23 00:00:00+00:00,2017-04-22 00:00:00+00:00,365,140822.184717555,141387.71663274206,41.9257148646328,42.300495711500915
114,2016-04-24 00:00:00+00:00,2017-04-23 00:00:00+00:00,365,140453.7341638193,141003.31719931966,41.68154082803148,42.0457522720506
115,2016-04-25 00:00:00+00:00,2017-04-24 00:00:00+00:00,365,140090.6859570849,140629.98864745567,41.44094695398132,41.79834556153568
116,2016-04-26 00:00:00+00:00,2017-04-25 00:00:00+00:00,365,139733.9214693735,140255.26410586108,41.20451733215755,41.550013721599406
117,2016-04-27 00:00:00+00:00,2017-04-26 00:00:00+00:00,365,139378.71383178662,139883.17749490283,41.13532682098331,41.46869614468417
118,2016-04-28 00:00:00+00:00,2017-04-27 00:00:00+00:00,365,138986.721291098,139472.0947784618,41.96219821153373,42.27706076923408
119,2016-04-29 00:00:00+00:00,2017-04-28 00:00:00+00:00,365,138602.06803224195,139067.94362229313,41.75630699093951,42.05829499351511
120,2016-04-30 00:00:00+00:00,2017-04-29 00:00:00+00:00,365,138225.6723392055,138670.24372313372,41.71319052008924,42.00037908052005
121,2016-05-01 00:00:00+00:00,2017-04-30 00:00:00+00:00,365,137839.73848878764,138259.53086816747,41.948376577478435,42.217313622306804
122,2016-05-02 00:00:00+00:00,2017-05-01 00:00:00+00:00,365,137451.37910626488,137848.07119605324,42.71573925293369,42.96544769469279
123,2016-05-03 00:00:00+00:00,2017-05-02 00:00:00+00:00,365,137047.64773032576,137419.472687273,42.92071517885214,43.152902745604194
124,2016-05-04 00:00:00+00:00,2017-05-03 00:00:00+00:00,365,136647.8927789504,136993.15573743137,43.55209867036718,43.76438620884504
125,2016-05-05 00:00:00+00:00,2017-05-04 00:00:00+00:00,365,136238.30723782856,136560.03555650584,43.602927383961735,43.799688515799296
126,2016-05-06 00:00:00+00:00,2017-05-05 00:00:00+00:00,365,135828.54581075924,136129.39252774406,43.35232736682613,43.53631782432429
127,2016-05-07 00:00:00+00:00,2017-05-06 00:00:00+00:00,365,135430.64242824682,135710.12544528002,43.585440996784826,43.754934446313705
128,2016-05-08 00:00:00+00:00,2017-05-07 00:00:00+00:00,365,135035.96082365903,135295.7958326011,43.34608496242788,43.503662808987094
129,2016-05-09 00:00:00+00:00,2017-05-08 00:00:00+00:00,365,134626.1336510346,134864.5698704791,44.516526329017445,44.65752088796954
130,2016-05-10 00:00:00+00:00,2017-05-09 00:00:00+00:00,365,134214.72772205886,134432.78447104173,44.65890987777071,44.786961076844605
131,2016-05-11 00:00:00+00:00,2017-05-10 00:00:00+00:00,365,133780.16812919168,133979.11511325577,45.069710191612046,45.185139909251234
132,2016-05-12 00:00:00+00:00,2017-05-11 00:00:00+00:00,365,133343.4278133825,133524.77757853403,45.330036546743294,45.43427676996656
133,2016-05-13 00:00:00+00:00,2017-05-12 00:00:00+00:00,365,132925.79194767837,133084.16218742842,45.08997858013571,45.181010124233225
134,2016-05-14 00:00:00+00:00,2017-05-13 00:00:00+00:00,365,132509.2248851684,132638.9079465351,44.85053496383316,44.925077057967364
135,2016-05-15 00:00:00+00:00,2017-05-14 00:00:00+00:00,365,132066.0201092304,132193.5361065063,44.59577993429787,44.66907639547317
136,2016-05-16 00:00:00+00:00,2017-05-15 00:00:00+00:00,365,131631.85032768687,131756.79007449327,44.34621823838348,44.418033865416
137,2016-05-17 00:00:00+00:00,2017-05-16 00:00:00+00:00,365,131190.54336951592,131310.87853257405,44.09255407845869,44.161722981149616
138,2016-05-18 00:00:00+00:00,2017-05-17 00:00:00+00:00,365,130743.46967877242,130858.28130021376,43.83557518862439,43.90156914807435
139,2016-05-19 00:00:00+00:00,2017-05-18 00:00:00+00:00,365,130291.20124520667,130400.09699287002,44.118458413045715,44.18044971601026
140,2016-05-20 00:00:00+00:00,2017-05-19 00:00:00+00:00,365,129810.69288561602,129913.44050632037,44.83767422893933,44.8960006078258
141,2016-05-21 00:00:00+00:00,2017-05-20 00:00:00+00:00,365,129330.37808326495,129427.91694766241,45.187145141185695,45.24189328869284
142,2016-05-22 00:00:00+00:00,2017-05-21 00:00:00+00:00,365,128851.86917355904,128944.92756502032,44.91856013628638,44.97079341349309
143,2016-05-23 00:00:00+00:00,2017-05-22 00:00:00+00:00,365,128365.05255606418,128454.83669034383,45.34162393497599,45.39234373224904
144,2016-05-24 00:00:00+00:00,2017-05-23 00:00:00+00:00,365,127871.69376494244,127959.43857128765,46.40806378827295,46.4567897655425
145,2016-05-25 00:00:00+00:00,2017-05-24 00:00:00+00:00,365,127370.89143716518,127458.14738728212,47.613554233126806,47.6618838489787
146,2016-05-26 00:00:00+00:00,2017-05-25 00:00:00+00:00,365,126879.98575556115,126968.17389084268,47.84438254120156,47.8937471860607
147,2016-05-27 00:00:00+00:00,2017-05-26 00:00:00+00:00,365,126394.90837501624,126485.48004108602,49.83490208790747,49.888011638293605
148,2016-05-28 00:00:00+00:00,2017-05-27 00:00:00+00:00,365,125944.02422948716,126038.82608743027,56.98343977762411,57.047342943481425
149,2016-05-29 00:00:00+00:00,2017-05-28 00:00:00+00:00,365,125576.83078049074,125645.87824582179,56.735925389382714,56.78246827076511
150,2016-05-30 00:00:00+00:00,2017-05-29 00:00:00+00:00,365,125157.06191354405,125246.46324404051,56.4529714461981,56.51323427410605
151,2016-05-31 00:00:00+00:00,2017-05-30 00:00:00+00:00,365,124752.07829313984,124859.33251418457,56.1799838062331,56.2522807466626
152,2016-06-01 00:00:00+00:00,2017-05-31 00:00:00+00:00,365,124335.2569125033,124462.46977477324,55.8990166775543,55.984767155585004
153,2016-06-02 00:00:00+00:00,2017-06-01 00:00:00+00:00,365,123922.96603254258,124067.02168065899,55.62110342716845,55.71820713561887
154,2016-06-03 00:00:00+00:00,2017-06-02 00:00:00+00:00,365,123506.5310525374,123669.00639078837,55.66191932100012,55.77065072705562
155,2016-06-04 00:00:00+00:00,2017-06-03 00:00:00+00:00,365,123130.15065988388,123295.96017593055,55.73864026410664,55.84878523269611
156,2016-06-05 00:00:00+00:00,2017-06-04 00:00:00+00:00,365,122745.91122293464,122927.38151084573,55.48339531965061,55.603943522422426
157,2016-06-06 00:00:00+00:00,2017-06-05 00:00:00+00:00,365,122346.84754300372,122553.0475406196,55.800548766607186,55.93574363153674
158,2016-06-07 00:00:00+00:00,2017-06-06 00:00:00+00:00,365,121951.91130210478,122180.81973452283,56.23390961290548,56.38165616163321
159,2016-06-08 00:00:00+00:00,2017-06-07 00:00:00+00:00,365,121553.65790482247,121808.42110459613,55.97686113135325,56.141295368710885
160,2016-06-09 00:00:00+00:00,2017-06-08 00:00:00+00:00,365,121155.8610426935,121436.3217534668,55.72010731563123,55.90112774215187
161,2016-06-10 00:00:00+00:00,2017-06-09 00:00:00+00:00,365,120753.42319205994,121059.26028410924,55.46035802251682,55.65775736838579
162,2016-06-11 00:00:00+00:00,2017-06-10 00:00:00+00:00,365,120350.48146135225,120680.68738230251,55.35508866685658,55.56748015554872
163,2016-06-12 00:00:00+00:00,2017-06-11 00:00:00+00:00,365,119969.57679128178,120320.29230319159,55.30195896038337,55.52657820187509
164,2016-06-13 00:00:00+00:00,2017-06-12 00:00:00+00:00,365,119649.66699291428,120014.40457203302,55.097069544846036,55.33066935889202
165,2016-06-14 00:00:00+00:00,2017-06-13 00:00:00+00:00,365,119346.23498217705,119726.62052640128,54.90273349245711,55.146355201553455
166,2016-06-15 00:00:00+00:00,2017-06-14 00:00:00+00:00,365,119040.37634239884,119438.73848019497,54.706843281338266,54.96197827877116
167,2016-06-16 00:00:00+00:00,2017-06-15 00:00:00+00:00,365,118743.3337994743,119158.22104886992,54.51659942722655,54.78231809691516
168,2016-06-17 00:00:00+00:00,2017-06-16 00:00:00+00:00,365,118487.37169762806,118911.85153865346,54.352665950619695,54.62452829112596
169,2016-06-18 00:00:00+00:00,2017-06-17 00:00:00+00:00,365,118213.17715728589,118649.84036549254,54.17705532724736,54.4567206265682
170,2016-06-19 00:00:00+00:00,2017-06-18 00:00:00+00:00,365,117948.81679463029,118397.76673076501,54.00774310088809,54.29527755744294
